Datetime,Close,High,Low,Open,Volume,pivot,pivot_1b,pivot_2b,pivot_type,pivot_type_1b,pivot_type_2b,pivot_kind,pivot_kind_1b,pivot_kind_2b
2016-08-09,8702.55,8751.7,8661.7,8739.8,9099225.0,29.445460024772323,79.98414608567407,54.35068583349599,low,high,low,1.0,1.0,0.0
2016-08-10,8598.05,8724.0,8590.0,8717.15,11891475.0,,,,,,,,,
2016-08-11,8612.45,8630.0,8565.0,8595.0,10012425.0,69.17687022864808,29.445460024772323,79.98414608567407,high,low,high,1.0,1.0,1.0
2016-08-12,8678.4,8702.5,8613.95,8614.0,10509900.0,,,,,,,,,
2016-08-16,8659.9,8706.25,8601.0,8695.35,10534875.0,,,,,,,,,
2016-08-17,8631.4,8689.55,8610.5,8650.25,9519675.0,,,,,,,,,
2016-08-18,8685.1,8713.95,8655.2,8655.2,9741525.0,25.843387082090686,69.17687022864808,29.445460024772323,low,high,low,1.0,1.0,1.0
2016-08-19,8677.25,8703.0,8650.0,8692.4,7000125.0,,,,,,,,,
2016-08-22,8633.2,8693.8,8616.0,8680.5,14785275.0,,,,,,,,,
2016-08-23,8641.75,8655.0,8591.25,8621.25,17242200.0,52.12315903144134,25.843387082090686,69.17687022864808,high,low,high,1.0,1.0,1.0
2016-08-24,8654.65,8682.95,8617.1,8640.25,11559600.0,36.22171812145818,52.12315903144134,25.843387082090686,low,high,low,0.0,1.0,1.0
2016-08-25,8592.2,8685.0,8585.95,8679.95,14572800.0,44.848570515898366,36.22171812145818,52.12315903144134,high,low,high,0.0,0.0,1.0
2016-08-26,8625.0,8664.95,8596.2,8645.05,9753750.0,33.467110933953194,44.848570515898366,36.22171812145818,low,high,low,1.0,0.0,0.0
2016-08-29,8649.75,8669.8,8578.0,8609.9,10548150.0,,,,,,,,,
2016-08-30,8794.6,8804.45,8668.0,8680.0,13258650.0,,,,,,,,,
2016-08-31,8836.15,8863.7,8789.45,8791.0,12257625.0,,,,,,,,,
2016-09-01,8808.35,8854.7,8790.95,8833.5,8194275.0,,,,,,,,,
2016-09-02,8840.15,8847.1,8793.6,8811.8,7150275.0,,,,,,,,,
2016-09-06,8961.2,8969.1,8886.25,8891.0,8032125.0,,,,,,,,,
2016-09-07,8952.1,8989.5,8942.1,8975.6,7678500.0,,,,,,,,,
2016-09-08,8982.55,8994.5,8933.8,8953.1,6978675.0,33.699473949432694,33.467110933953194,44.848570515898366,low,low,high,1.0,1.0,0.0
2016-09-09,8903.75,8962.0,8890.5,8962.0,10599750.0,,,,,,,,,
2016-09-12,8742.35,8805.25,8727.0,8805.25,13889100.0,,,,,,,,,
2016-09-14,8768.55,8779.8,8717.3,8736.3,8620500.0,,,,,,,,,
2016-09-15,8773.5,8784.0,8728.0,8764.1,7550850.0,111.99511731429516,33.699473949432694,33.467110933953194,high,low,low,0.0,1.0,1.0
2016-09-16,8808.2,8878.8,8769.5,8808.0,13500525.0,,,,,,,,,
2016-09-19,8832.1,8848.4,8798.85,8811.9,6234750.0,12.203095992628459,111.99511731429516,33.699473949432694,low,high,low,1.0,0.0,1.0
2016-09-20,8807.2,8820.0,8786.1,8806.65,6655875.0,,,,,,,,,
2016-09-21,8806.95,8856.6,8784.9,8814.0,9610950.0,38.170364333001054,12.203095992628459,111.99511731429516,high,low,high,0.0,1.0,0.0
2016-09-22,8884.45,8918.0,8861.05,8880.25,10805925.0,,,,,,,,,
2016-09-23,8843.65,8889.35,8830.1,8885.25,7167000.0,33.983476358540734,38.170364333001054,12.203095992628459,low,high,low,1.0,0.0,1.0
2016-09-26,8735.15,8821.6,8726.7,8813.8,15852825.0,,,,,,,,,
